***** Interaction Log File *****
Date and time: 8/21/2018 12:43:51 AM
Condition: Haptics
t = 2.420171, 2.420171, Start Task 1
=============================================
t = 3.599837, Touch Down, x = 0.9952418, y = -4.113667
t = 13.08086, Touch Move counter-clockwise right, x = 5.241609, y = -0.6303201
t = 13.09741, Touch Move counter-clockwise right, x = 5.307959, y = -0.4976209
t = 13.11355, Touch Move clockwise right, x = 5.307959, y = -0.3980968
t = 13.13012, Touch Move clockwise right, x = 5.307959, y = -0.265398
t = 13.15431, Touch Move counter-clockwise up, x = 5.274784, y = 0.09952412
t = 13.18006, Touch Move counter-clockwise up, x = 5.208434, y = 0.4976213
t = 13.20936, Touch Move counter-clockwise up, x = 5.142085, y = 0.8957177
t = 13.25178, Touch Move counter-clockwise up, x = 5.04256, y = 1.625562
t = 13.27947, Touch Move counter-clockwise up, x = 5.04256, y = 1.95731
t = 13.30594, Touch Move counter-clockwise up, x = 4.976211, y = 2.189533
t = 13.33242, Touch Move counter-clockwise up, x = 4.976211, y = 2.421756
t = 13.35783, Touch Move counter-clockwise up, x = 4.909862, y = 2.554455
t = 13.38271, Touch Move counter-clockwise up, x = 4.843512, y = 2.620805
t = 13.41, Touch Move counter-clockwise up, x = 4.710814, y = 2.687154
t = 13.43774, Touch Move counter-clockwise left, x = 4.511764, y = 2.753503
t = 13.45431, Touch Move counter-clockwise left, x = 4.312716, y = 2.753503
t = 13.4709, Touch Move counter-clockwise left, x = 4.047318, y = 2.753503
t = 13.48744, Touch Move counter-clockwise left, x = 3.78192, y = 2.753503
t = 13.50401, Touch Move counter-clockwise left, x = 3.483348, y = 2.687154
t = 13.52112, Touch Move counter-clockwise left, x = 3.217949, y = 2.687154
t = 13.53769, Touch Move counter-clockwise left, x = 3.085251, y = 2.687154
t = 13.55426, Touch Move counter-clockwise left, x = 2.853027, y = 2.653979
t = 13.57082, Touch Move counter-clockwise left, x = 2.58763, y = 2.620805
t = 13.58739, Touch Move counter-clockwise left, x = 2.388581, y = 2.58763
t = 13.60396, Touch Move counter-clockwise left, x = 2.189533, y = 2.554455
t = 13.62052, Touch Move counter-clockwise left, x = 1.990484, y = 2.554455
t = 13.63828, Touch Move counter-clockwise left, x = 1.857785, y = 2.554455
t = 13.65485, Touch Move counter-clockwise left, x = 1.725086, y = 2.52128
t = 13.67245, Touch Move counter-clockwise left, x = 1.592388, y = 2.488106
