***** Interaction Log File *****
Date and time: 8/21/2018 12:33:03 AM
Condition: Haptics
3.62919, Start Task 1
t = 10.0234, Touch Move counter-clockwiseright, x = -0.1990484, y = -0.9620675
t = 10.03997, Touch Move counter-clockwiseright, x = 0.06634917, y = -0.9288928
t = 10.05653, Touch Move counter-clockwiseright, x = 0.1990484, y = -0.9288928
t = 10.07344, Touch Move counter-clockwiseright, x = 0.4644468, y = -0.9288928
t = 10.08967, Touch Move counter-clockwiseright, x = 0.6634951, y = -0.9288928
t = 10.10623, Touch Move counter-clockwiseright, x = 0.8625435, y = -0.9288928
t = 10.12816, Touch Move counter-clockwiseright, x = 1.227466, y = -0.9288928
t = 10.1454, Touch Move counter-clockwiseright, x = 1.459689, y = -0.9620675
t = 10.1646, Touch Move counter-clockwiseright, x = 1.725086, y = -0.9620675
t = 10.18124, Touch Move counter-clockwiseright, x = 1.95731, y = -0.9620675
t = 10.19781, Touch Move counter-clockwiseright, x = 2.189533, y = -0.9952422
t = 10.21481, Touch Move counter-clockwiseright, x = 2.388581, y = -1.028417
t = 10.23728, Touch Move counter-clockwiseright, x = 2.58763, y = -1.028417
t = 10.25385, Touch Move counter-clockwiseright, x = 2.753503, y = -1.028417
t = 10.27046, Touch Move counter-clockwiseright, x = 2.919377, y = -1.028417
t = 10.28698, Touch Move counter-clockwiseright, x = 3.085251, y = -1.061592
t = 10.30355, Touch Move counter-clockwiseright, x = 3.251125, y = -1.094766
t = 10.32012, Touch Move counter-clockwiseright, x = 3.317474, y = -1.094766
t = 10.3392, Touch Move counter-clockwiseright, x = 3.549697, y = -1.094766
t = 10.35625, Touch Move counter-clockwiseright, x = 3.616047, y = -1.094766
t = 10.37372, Touch Move counter-clockwiseright, x = 3.815095, y = -1.127941
t = 10.39029, Touch Move counter-clockwiseright, x = 3.881444, y = -1.161116
t = 10.40685, Touch Move counter-clockwiseright, x = 4.014143, y = -1.161116
t = 10.42342, Touch Move counter-clockwiseright, x = 4.146842, y = -1.161116
t = 10.43999, Touch Move counter-clockwiseright, x = 4.279541, y = -1.161116
t = 10.45655, Touch Move counter-clockwiseright, x = 4.379066, y = -1.194291
t = 10.47312, Touch Move counter-clockwiseright, x = 4.511764, y = -1.227466
t = 10.49007, Touch Move counter-clockwiseright, x = 4.611289, y = -1.227466
t = 10.50626, Touch Move counter-clockwiseright, x = 4.777163, y = -1.293815
t = 10.5237, Touch Move counter-clockwiseright, x = 4.810337, y = -1.32699
t = 10.54214, Touch End, x = 4.810337, y = -1.32699
t = 10.89151, Touch Down, x = -4.47859, y = -1.360164
t = 10.99119, Touch Move clockwisedown, x = -4.345891, y = -1.227466
t = 11.01439, Touch Move counter-clockwiseright, x = -4.180017, y = -1.161116
t = 11.03321, Touch Move counter-clockwiseright, x = -4.047318, y = -1.127941
t = 11.04977, Touch Move counter-clockwiseright, x = -3.914619, y = -1.094766
t = 11.06665, Touch Move counter-clockwiseright, x = -3.715571, y = -1.061592
t = 11.08322, Touch Move counter-clockwiseright, x = -3.483348, y = -1.028417
t = 11.09978, Touch Move counter-clockwiseright, x = -3.251124, y = -0.9952422
t = 11.11635, Touch Move counter-clockwiseright, x = -2.985726, y = -0.9620675
t = 11.13334, Touch Move counter-clockwiseright, x = -2.653979, y = -0.9620675
t = 11.15001, Touch Move counter-clockwiseright, x = -2.322232, y = -0.9620675
t = 11.17254, Touch Move counter-clockwiseright, x = -1.924135, y = -0.9288928
t = 11.19386, Touch Move counter-clockwiseright, x = -1.360164, y = -0.895718
t = 11.21154, Touch Move counter-clockwiseright, x = -0.9620672, y = -0.8625433
t = 11.2281, Touch Move counter-clockwiseright, x = -0.7298443, y = -0.8293684
t = 11.24467, Touch Move counter-clockwiseright, x = -0.3317476, y = -0.8293684
t = 11.26124, Touch Move counter-clockwiseright, x = 0.06634917, y = -0.7961936
t = 11.2778, Touch Move counter-clockwiseright, x = 0.4644468, y = -0.7630189
t = 11.29499, Touch Move counter-clockwiseright, x = 0.8293681, y = -0.7630189
t = 11.31155, Touch Move counter-clockwiseright, x = 1.227466, y = -0.7630189
t = 11.32854, Touch Move counter-clockwiseright, x = 1.592388, y = -0.7630189
t = 11.34506, Touch Move counter-clockwiseright, x = 1.89096, y = -0.7630189
t = 11.36163, Touch Move counter-clockwiseright, x = 2.189533, y = -0.7630189
t = 11.37921, Touch Move counter-clockwiseright, x = 2.421756, y = -0.7630189
t = 11.39697, Touch Move counter-clockwiseright, x = 2.687154, y = -0.7961936
t = 11.41353, Touch Move counter-clockwiseright, x = 2.819853, y = -0.7961936
t = 11.43287, Touch Move counter-clockwiseright, x = 3.1516, y = -0.8293684
t = 11.44944, Touch Move counter-clockwiseright, x = 3.383823, y = -0.8625433
t = 11.466, Touch Move counter-clockwiseright, x = 3.516522, y = -0.895718
t = 11.48257, Touch Move counter-clockwiseright, x = 3.649221, y = -0.895718
t = 11.49954, Touch Move counter-clockwiseright, x = 3.815095, y = -0.9620675
t = 11.51591, Touch Move counter-clockwiseright, x = 3.914619, y = -0.9952422
t = 11.5418, Touch Move counter-clockwiseright, x = 4.113667, y = -1.094766
t = 11.56675, Touch Move counter-clockwiseright, x = 4.246367, y = -1.227466
