***** Interaction Log File *****
Date and time: 8/21/2018 8:59:16 AM
Condition: Haptics
t = 1.403993, Start Question 1
=============================================
t = 3.450498, Start Task 1
=============================================
t = 11.9559, Touch Move clockwise left, x = 3.78192, y = 2.488106
t = 11.97246, Touch Move clockwise left, x = 3.881444, y = 2.454931
t = 11.98903, Touch Move clockwise left, x = 3.980969, y = 2.454931
t = 12.0056, Touch Move clockwise left, x = 4.047318, y = 2.454931
t = 12.02217, Touch Move clockwise left, x = 4.146842, y = 2.421756
t = 12.03873, Touch Move clockwise left, x = 4.180017, y = 2.421756
t = 12.0553, Touch Move clockwise left, x = 4.246367, y = 2.421756
t = 12.07187, Touch Move clockwise left, x = 4.246367, y = 2.388582
t = 12.08843, Touch Move clockwise left, x = 4.312716, y = 2.388582
t = 12.12169, Touch Move clockwise left, x = 4.345891, y = 2.388582
t = 12.13967, Touch End, x = 4.345891, y = 2.388582
t = 12.8695, Touch Down, x = -0.1990484, y = -1.028417
t = 12.95245, Touch End, x = 4.345891, y = 2.388582
t = 13.61812, Touch Down, x = 5.440657, y = -4.146842
t = 13.71752, Touch End, x = 4.345891, y = 2.388582
t = 13.74963, Start Question 2
=============================================
t = 17.40191, Start Task 1
=============================================
t = 18.84661, Touch Down, x = 5.540181, y = -4.180017
t = 18.96257, Touch End, x = 0, y = 0
t = 18.97934, Start Question 2
=============================================
t = 20.65176, Start Task 2
=============================================
t = 21.48353, Touch Down, x = 2.421756, y = 2.421756
t = 21.5498, Touch Move clockwise left, x = 2.58763, y = 2.454931
t = 21.56636, Touch Move clockwise left, x = 2.952552, y = 2.554455
t = 21.583, Touch Move clockwise left, x = 3.118426, y = 2.58763
t = 21.59949, Touch Move clockwise left, x = 3.383823, y = 2.653979
t = 21.61606, Touch Move clockwise left, x = 3.682396, y = 2.687154
t = 21.63292, Touch Move clockwise left, x = 3.947793, y = 2.720329
t = 21.64919, Touch Move clockwise left, x = 4.213192, y = 2.720329
t = 21.66576, Touch Move clockwise left, x = 4.445415, y = 2.653979
t = 21.68233, Touch Move clockwise up, x = 4.611289, y = 2.488106
t = 21.69889, Touch Move clockwise up, x = 4.743988, y = 2.322232
